gene_symbol	phenotypes
PPP1R3A	"Insulin resistance, severe, digenic, 125853 (3), Autosomal dominant"
FOXP2	"Speech-language disorder-1, 602081 (3), Autosomal dominant"
CAV1	"Lipodystrophy, familial partial, type 7, 606721 (3), Autosomal dominant; ?Lipodystrophy, congenital generalized, type 3, 612526 (3), Autosomal recessive; Pulmonary hypertension, primary, 3, 615343 (3), Autosomal dominant"
MET	"{Osteofibrous dysplasia, susceptibility to}, 607278 (3), Autosomal dominant; Hepatocellular carcinoma, childhood type, somatic, 114550 (3); ?Deafness, autosomal recessive 97, 616705 (3), Autosomal recessive; Renal cell carcinoma, papillary, 1, familial and somatic, 605074 (3)"
CFTR	"{Bronchiectasis with or without elevated sweat chloride 1, modifier of}, 211400 (3), Autosomal dominant; Sweat chloride elevation without CF (3); {Hypertrypsinemia, neonatal} (3); Cystic fibrosis, 219700 (3), Autosomal recessive; Congenital bilateral absence of vas deferens, 277180 (3), Autosomal recessive; {Pancreatitis, hereditary}, 167800 (3), Autosomal dominant"
TSPAN12	"Exudative vitreoretinopathy 5, 613310 (3), Autosomal dominant"
AASS	"Hyperlysinemia, 238700 (3), Autosomal recessive"
FEZF1	"Hypogonadotropic hypogonadism 22, with or without anosmia, 616030 (3), Autosomal recessive"
TAS2R16	"[Beta-glycopyranoside tasting], (3) {Alcohol dependence, susceptibility to}, 617956 (3), Autosomal dominant"
POT1	"{Glioma susceptibility 9}, 616568 (3), Autosomal dominant; {Melanoma, cutaneous malignant, susceptibility to, 10}, 615848 (3), Autosomal dominant"
PAX4	"Maturity-onset diabetes of the young, type IX, 612225 (3); Diabetes mellitus, type 2, 125853 (3), Autosomal dominant; {Diabetes mellitus, ketosis-prone, susceptibility to}, 612227 (3), Autosomal recessive, Autosomal dominant"
LEP	"Obesity, morbid, due to leptin deficiency, 614962 (3), Autosomal recessive"
RBM28	"?Alopecia, neurologic defects, and endocrinopathy syndrome, 612079 (3), Autosomal recessive"
IMPDH1	"Leber congenital amaurosis 11, 613837 (3), Autosomal dominant; Retinitis pigmentosa 10, 180105 (3), Autosomal dominant"
OPN1SW	"Colorblindness, tritan, 190900 (3), Autosomal dominant"
FLNC	"Cardiomyopathy, familial hypertrophic, 26 (3); Myopathy, myofibrillar, 5, 609524 (3), Autosomal dominant; Cardiomyopathy, familial restrictive 5, 617047 (3), Autosomal dominant; Myopathy, distal, 4, 614065 (3), Autosomal dominant"
IRF5	"{Systemic lupus erythematosus, susceptibility to, 10}, 612251 (3); {Inflammatory bowel disease 14}, 612245 (3)"
TNPO3	"Muscular dystrophy, limb-girdle, autosomal dominant 2, 608423 (3), Autosomal dominant"
SMO	"Curry-Jones syndrome, somatic mosaic, 601707 (3); Basal cell carcinoma, somatic, 605462 (3)"
MIR96	"Deafness, autosomal dominant 50, 613074 (3), Autosomal dominant"
CEP41	"Joubert syndrome 15, 614464 (3), Autosomal recessive"
BPGM	"Erythrocytosis, familial, 8, 222800 (3), Autosomal recessive"
NUP205	"?Nephrotic syndrome, type 13, 616893 (3)"
AKR1D1	"Bile acid synthesis defect, congenital, 2, 235555 (3), Autosomal recessive"
ATP6V0A4	"Renal tubular acidosis, distal, autosomal recessive, 602722 (3)"
KIAA1549	"Retinitis pigmentosa 86, 618613 (3), Autosomal recessive"
TBXAS1	"Ghosal hematodiaphyseal syndrome, 231095 (3), Autosomal recessive"
BRAF	"Nonsmall cell lung cancer, somatic (3); Melanoma, malignant, somatic (3); Noonan syndrome 7, 613706 (3), Autosomal dominant; Cardiofaciocutaneous syndrome, 115150 (3), Autosomal dominant; Colorectal cancer, somatic (3); Adenocarcinoma of lung, somatic, 211980 (3); LEOPARD syndrome 3, 613707 (3), Autosomal dominant"
AGK	"Sengers syndrome, 212350 (3), Autosomal recessive; Cataract 38, autosomal recessive, 614691 (3), Autosomal recessive"
WEE2	"Oocyte maturation defect 5, 617996 (3), Autosomal recessive"
TAS2R38	"[Phenylthiocarbamide tasting], 171200 (3), Autosomal dominant"
PRSS1	"Pancreatitis, hereditary, 167800 (3), Autosomal dominant"
PRSS2	"{Pancreatitis, chronic, protection against}, 167800 (3), Autosomal dominant"
TRPV6	"Hyperparathyroidism, transient neonatal, 618188 (3), Autosomal recessive"
KEL	"[Blood group, Kell], 110900 (3)"
CLCN1	"Myotonia congenita, dominant, 160800 (3), Autosomal dominant; Myotonia levior, recessive (3); Myotonia congenita, recessive, 255700 (3), Autosomal recessive"
NOBOX	"Premature ovarian failure 5, 611548 (3), Autosomal dominant"
TPK1	"Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type), 614458 (3), Autosomal recessive"
CNTNAP2	"{Autism susceptibility 15}, 612100 (3); Pitt-Hopkins like syndrome 1, 610042 (3), Autosomal recessive; Cortical dysplasia-focal epilepsy syndrome, 610042 (3), Autosomal recessive"
EZH2	"Weaver syndrome, 277590 (3), Autosomal dominant"
KCNH2	"{Long QT syndrome 2, acquired, susceptibility to}, 613688 (3), Autosomal dominant; Long QT syndrome 2, 613688 (3), Autosomal dominant; Short QT syndrome 1, 609620 (3)"
NOS3	"{Coronary artery spasm 1, susceptibility to} (3); {Alzheimer disease, late-onset, susceptibility to}, 104300 (3), Autosomal dominant; {Hypertension, susceptibility to}, 145500 (3), Multifactorial; {Placental abruption} (3); {Ischemic stroke, susceptibility to}, 601367 (3), Multifactorial; {Hypertension, pregnancy-induced}, 189800 (3), Autosomal dominant"
CDK5	"?Lissencephaly 7 with cerebellar hypoplasia, 616342 (3), Autosomal recessive"
ASB10	"Glaucoma 1, open angle, F, 603383 (3)"
PRKAG2	"Glycogen storage disease of heart, lethal congenital, 261740 (3), Autosomal dominant; Wolff-Parkinson-White syndrome, 194200 (3), Autosomal dominant; Cardiomyopathy, hypertrophic 6, 600858 (3), Autosomal dominant"
KMT2C	"Kleefstra syndrome 2, 617768 (3), Autosomal dominant"
XRCC2	"?Fanconi anemia, complementation group U, 617247 (3), Autosomal recessive"
DPP6	"Mental retardation, autosomal dominant 33, 616311 (3); {Ventricular fibrillation, paroxysmal familial, 2}, 612956 (3), Autosomal dominant"
SHH	"Schizencephaly, 269160 (3); Microphthalmia with coloboma 5, 611638 (3), Autosomal dominant; Single median maxillary central incisor, 147250 (3), Autosomal dominant; Holoprosencephaly 3, 142945 (3), Autosomal dominant"
LMBR1	"Triphalangeal thumb-polysyndactyly syndrome, 174500 (3), Autosomal dominant; Syndactyly, type IV, 186200 (3), Autosomal dominant; Triphalangeal thumb, type I, 174500 (3), Autosomal dominant; Acheiropody, 200500 (3), Autosomal recessive; Laurin-Sandrow syndrome, 135750 (3), Autosomal dominant; Hypoplastic or aplastic tibia with polydactyly, 188740 (3), Autosomal dominant; Polydactyly, preaxial type II, 174500 (3), Autosomal dominant"
MNX1	"Currarino syndrome, 176450 (3), Autosomal dominant"
DNAJB6	"Muscular dystrophy, limb-girdle, autosomal dominant 1, 603511 (3), Autosomal dominant"
NCAPG2	"Khan-Khan-Katsanis syndrome, 618460 (3), Autosomal recessive"
WDR60	"Short-rib thoracic dysplasia 8 with or without polydactyly, 615503 (3), Autosomal recessive"
CLN8	"Ceroid lipofuscinosis, neuronal, 8, 600143 (3), Autosomal recessive; Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant, 610003 (3), Autosomal recessive"
ARHGEF10	"?Slowed nerve conduction velocity, AD, 608236 (3), Autosomal dominant"
MCPH1	"Microcephaly 1, primary, autosomal recessive, 251200 (3), Autosomal recessive"
MFHAS1	"Malignant fibrous histiocytoma, 605352 (2)"
RP1L1	"Retinitis pigmentosa 88, 618826 (3), Autosomal recessive; Occult macular dystrophy, 613587 (3), Autosomal dominant"
BLK	"Maturity-onset diabetes of the young, type 11, 613375 (3), Autosomal dominant"
GATA4	"?Testicular anomalies with or without congenital heart disease, 615542 (3), Autosomal dominant; Tetralogy of Fallot, 187500 (3), Autosomal dominant; Atrioventricular septal defect 4, 614430 (3), Autosomal dominant; Atrial septal defect 2, 607941 (3), Autosomal dominant; Ventricular septal defect 1, 614429 (3), Autosomal dominant"
FDFT1	"Squalene synthase deficiency, 618156 (3), Autosomal recessive"
CTSB	"Keratolytic winter erythema, 148370 (4), Autosomal dominant"
DLC1	"Colorectal cancer, somatic, 114500 (3)"
TUSC3	"Mental retardation, autosomal recessive 7, 611093 (3), Autosomal recessive"
MSR1	"Barrett esophagus/esophageal adenocarcinoma, 614266 (3)"
FGF20	"?Renal hypodysplasia/aplasia 2, 615721 (3), Autosomal recessive"
VPS37A	"Spastic paraplegia 53, autosomal recessive, 614898 (3), Autosomal recessive"
PDGFRL	"Hepatocellular cancer, somatic, 114550 (3); Colorectal cancer, somatic, 114500 (3)"
ASAH1	"Farber lipogranulomatosis, 228000 (3), Autosomal recessive; Spinal muscular atrophy with progressive myoclonic epilepsy, 159950 (3), Autosomal recessive"
NAT2	"[Acetylation, slow], 243400 (3), Autosomal recessive"
LPL	"Lipoprotein lipase deficiency, 238600 (3), Autosomal recessive; [High density lipoprotein cholesterol level QTL 11], 238600 (3), Autosomal recessive; Combined hyperlipidemia, familial, 144250 (3), Autosomal dominant"
ATP6V1B2	"Zimmermann-Laband syndrome 2, 616455 (3), Autosomal dominant; Deafness, congenital, with onychodystrophy, autosomal dominant, 124480 (3), Autosomal dominant"
LZTS1	"Esophageal squamous cell carcinoma, somatic, 133239 (3)"
FGF17	"Hypogonadotropic hypogonadism 20 with or without anosmia, 615270 (3), Autosomal dominant"
HR	"Hypotrichosis 4, 146550 (3), Autosomal dominant; Alopecia universalis, 203655 (3), Autosomal recessive; Atrichia with papular lesions, 209500 (3), Autosomal recessive"
SFTPC	"Surfactant metabolism dysfunction, pulmonary, 2, 610913 (3), Autosomal dominant"
BMP1	"Osteogenesis imperfecta, type XIII, 614856 (3), Autosomal recessive"
SLC39A14	"?Hyperostosis cranalis interna, 144755 (3), Autosomal dominant; Hypermanganesemia with dystonia 2, 617013 (3), Autosomal recessive"
RHOBTB2	"Epileptic encephalopathy, early infantile, 64, 618004 (3), Autosomal dominant"
TNFRSF10B	"Squamous cell carcinoma, head and neck, 275355 (3), Autosomal recessive"
NKX2-6	"Persistent truncus arteriosus, 217095 (3); Conotruncal heart malformations, 217095 (3)"
NEFL	"Charcot-Marie-Tooth disease, type 1F, 607734 (3), Autosomal recessive, Autosomal dominant; Charcot-Marie-Tooth disease, dominant intermediate G, 617882 (3), Autosomal dominant; Charcot-Marie-Tooth disease, type 2E, 607684 (3), Autosomal dominant"
GNRH1	"?Hypogonadotropic hypogonadism 12 with or without anosmia, 614841 (3), Autosomal recessive"
CHRNA2	"Epilepsy, nocturnal frontal lobe, type 4, 610353 (3), Autosomal dominant"
EPHX2	"{Hypercholesterolemia, familial, due to LDLR defect, modifier of}, 143890 (3), Autosomal dominant"
GULOP	Scurvy (3)
ESCO2	"Roberts syndrome, 268300 (3), Autosomal recessive; SC phocomelia syndrome, 269000 (3), Autosomal recessive"
EXTL3	"Immunoskeletal dysplasia with neurodevelopmental abnormalities, 617425 (3), Autosomal recessive"
GTF2E2	"Trichothiodystrophy 6, nonphotosensitive, 616943 (3), Autosomal recessive"
GSR	"Hemolytic anemia due to glutathione reductase deficiency, 618660 (3), Autosomal recessive"
TEX15	"Spermatogenic failure 25, 617960 (3), Autosomal recessive"
WRN	"Werner syndrome, 277700 (3), Autosomal recessive"
NRG1	"{?Schizophrenia, susceptibility to}, 603013 (1)"
TTI2	"Mental retardation, autosomal recessive 39, 615541 (3), Autosomal recessive"
ERLIN2	"Spastic paraplegia 18, autosomal recessive, 611225 (3), Autosomal recessive"
PLPBP	"Epilepsy, early-onset, vitamin B6-dependent, 617290 (3), Autosomal recessive"
ADRB3	"{Obesity, susceptibility to}, 601665 (3), Autosomal recessive, Multifactorial, Autosomal dominant"
STAR	"Lipoid adrenal hyperplasia, 201710 (3), Autosomal recessive"
DDHD2	"Spastic paraplegia 54, autosomal recessive, 615033 (3), Autosomal recessive"
FGFR1	"Pfeiffer syndrome, 101600 (3), Autosomal dominant; Jackson-Weiss syndrome, 123150 (3), Autosomal dominant; Trigonocephaly 1, 190440 (3), Autosomal dominant; Hypogonadotropic hypogonadism 2 with or without anosmia, 147950 (3), Autosomal dominant; Hartsfield syndrome, 615465 (3), Autosomal dominant; Osteoglophonic dysplasia, 166250 (3), Autosomal dominant; Encephalocraniocutaneous lipomatosis, somatic mosaic, 613001 (3)"
ADAM9	"Cone-rod dystrophy 9, 612775 (3), Autosomal recessive"
ANK1	"Spherocytosis, type 1, 182900 (3), Autosomal recessive, Autosomal dominant"
KAT6A	"Arboleda-Tham syndrome, 616268 (3), Autosomal dominant"
PLAT	"Hyperfibrinolysis, familial, due to increased release of PLAT, 612348 (1); Thrombophilia, familial, due to decreased release of PLAT, 612348 (1)"
IKBKB	"Immunodeficiency 15A, 618204 (3), Autosomal dominant; Immunodeficiency 15B, 615592 (3), Autosomal recessive"
SLC20A2	"Basal ganglia calcification, idiopathic, 1, 213600 (3), Autosomal dominant"
THAP1	"Dystonia 6, torsion, 602629 (3), Autosomal dominant"
RNF170	"Ataxia, sensory, 1, autosomal dominant, 608984 (3), Autosomal dominant"
POMK	"?Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 12, 616094 (3), Autosomal recessive; Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 12, 615249 (3), Autosomal recessive"
HGSNAT	"Retinitis pigmentosa 73, 616544 (3), Autosomal recessive; Mucopolysaccharidosis type IIIC (Sanfilippo C), 252930 (3), Autosomal recessive"
PRKDC	"Immunodeficiency 26, with or without neurologic abnormalities, 615966 (3), Autosomal recessive"
MCM4	"Immunodeficiency 54, 609981 (3), Autosomal recessive"
SNAI2	"Waardenburg syndrome, type 2D, 608890 (3), Autosomal recessive; Piebaldism, 172800 (3), Autosomal dominant"
RB1CC1	"Breast cancer, somatic, 114480 (3)"
SOX17	"Vesicoureteral reflux 3, 613674 (3), Autosomal dominant"
RP1	"Retinitis pigmentosa 1, 180100 (3), Autosomal recessive, Autosomal dominant"
PLAG1	"Adenomas, salivary gland pleomorphic, somatic, 181030 (3)"
BPNT2	"Chondrodysplasia with joint dislocations, GPAPP type, 614078 (3), Autosomal recessive"
CA8	"Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3, 613227 (3), Autosomal recessive"
CHD7	"Hypogonadotropic hypogonadism 5 with or without anosmia, 612370 (3), Autosomal dominant; CHARGE syndrome, 214800 (3), Autosomal dominant"
ASPH	"Traboulsi syndrome, 601552 (3), Autosomal recessive"
TTPA	"Ataxia with isolated vitamin E deficiency, 277460 (3), Autosomal recessive"
CYP7B1	"Spastic paraplegia 5A, autosomal recessive, 270800 (3), Autosomal recessive; Bile acid synthesis defect, congenital, 3, 613812 (3), Autosomal recessive"
CSPP1	"Joubert syndrome 21, 615636 (3), Autosomal recessive"
CPA6	"Febrile seizures, familial, 11, 614418 (3), Autosomal recessive; Epilepsy, familial temporal lobe, 5, 614417 (3), Autosomal recessive, Autosomal dominant"
EYA1	"?Otofaciocervical syndrome, 166780 (3), Autosomal dominant; Anterior segment anomalies with or without cataract, 602588 (3), Autosomal dominant; Branchiootorenal syndrome 1, with or without cataracts, 113650 (3), Autosomal dominant; Branchiootic syndrome 1, 602588 (3), Autosomal dominant"
TRPA1	"?Episodic pain syndrome, familial, 1, 615040 (3), Autosomal dominant"
TMEM70	"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2, 614052 (3), Autosomal recessive"
JPH1	"?Charcot-Marie-Tooth disease, axonal, autosomal dominant, type 2K, 607831 (3), Autosomal recessive, Autosomal dominant"
GDAP1	"Charcot-Marie-Tooth disease, recessive intermediate, A, 608340 (3), Autosomal recessive; Charcot-Marie-Tooth disease, type 4A, 214400 (3), Autosomal recessive; Charcot-Marie-Tooth disease, axonal, type 2K, 607831 (3), Autosomal recessive, Autosomal dominant; Charcot-Marie-Tooth disease, axonal, with vocal cord paresis, 607706 (3), Autosomal recessive"
ZFHX4	"?Ptosis, congenital, 178300 (2), Autosomal dominant"
PEX2	"Peroxisome biogenesis disorder 5A (Zellweger), 614866 (3), Autosomal recessive; Peroxisome biogenesis disorder 5B, 614867 (3), Autosomal recessive"
IL7	"{?Epidermodysplasia verruciformis, susceptibility to, 5}, 618309 (3), Autosomal recessive"
PMP2	"Charcot-Marie-Tooth disease, demyelinating, type 1G, 618279 (3), Autosomal dominant"
IMPA1	"Mental retardation, autosomal recessive 59, 617323 (3), Autosomal recessive"
CA2	"Osteopetrosis, autosomal recessive 3, with renal tubular acidosis, 259730 (3), Autosomal recessive"
CNGB3	"Macular degeneration, juvenile, 248200 (3), Autosomal recessive; Achromatopsia 3, 262300 (3), Autosomal recessive"
NBN	"Leukemia, acute lymphoblastic, 613065 (3); Nijmegen breakage syndrome, 251260 (3), Autosomal recessive; Aplastic anemia, 609135 (3)"
OTUD6B	"Intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies, 617452 (3), Autosomal recessive"
CIBAR1	"?Polydactyly, postaxial, type A9, 618219 (3), Autosomal recessive"
TMEM67	"Meckel syndrome 3, 607361 (3), Autosomal recessive; ?RHYNS syndrome, 602152 (3), Autosomal recessive; Nephronophthisis 11, 613550 (3), Autosomal recessive; {Bardet-Biedl syndrome 14, modifier of}, 615991 (3), Autosomal recessive; COACH syndrome, 216360 (3), Autosomal recessive; Joubert syndrome 6, 610688 (3), Autosomal recessive"
PDP1	"Pyruvate dehydrogenase phosphatase deficiency, 608782 (3), Autosomal recessive"
RAD54B	"Colon cancer, somatic, 114500 (3); Lymphoma, non-Hodgkin, somatic, 605027 (3)"
ESRP1	"?Deafness, autosomal recessive 109, 618013 (3), Autosomal recessive"
INTS8	"?Neurodevelopmental disorder with cerebellar hypoplasia and spasticity, 618572 (3), Autosomal recessive"
NDUFAF6	"Mitochondrial complex I deficiency, nuclear type 17, 618239 (3), Autosomal recessive"
C8orf37	"Retinitis pigmentosa 64, 614500 (3), Autosomal recessive; Bardet-Biedl syndrome 21, 617406 (3), Autosomal recessive; Cone-rod dystrophy 16, 614500 (3), Autosomal recessive"
GDF6	"Leber congenital amaurosis 17, 615360 (3), Autosomal recessive; Klippel-Feil syndrome 1, autosomal dominant, 118100 (3), Autosomal dominant; Multiple synostoses syndrome 4, 617898 (3), Autosomal dominant; Microphthalmia with coloboma 6, digenic, 613703 (3), Autosomal dominant; Microphthalmia, isolated 4, 613094 (3)"
UQCRB	"Mitochondrial complex III deficiency, nuclear type 3, 615158 (3), Autosomal recessive"
PTDSS1	"Lenz-Majewski hyperostotic dwarfism, 151050 (3), Autosomal dominant"
POP1	"Anauxetic dysplasia 2, 617396 (3), Autosomal recessive"
VPS13B	"Cohen syndrome, 216550 (3), Autosomal recessive"
SPAG1	"Ciliary dyskinesia, primary, 28, 615505 (3), Autosomal recessive"
GRHL2	"Deafness, autosomal dominant 28, 608641 (3), Autosomal dominant; Corneal dystrophy, posterior polymorphous, 4, 618031 (3), Autosomal dominant; Ectodermal dysplasia/short stature syndrome, 616029 (3), Autosomal recessive"
RRM2B	"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5, 613077 (3), Autosomal dominant; Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), 612075 (3), Autosomal recessive; Mitochondrial DNA depletion syndrome 8B (MNGIE type), 612075 (3), Autosomal recessive"
FZD6	"Nail disorder, nonsyndromic congenital, 1, 161050 (3), Autosomal recessive"
CTHRC1	"Barrett esophagus/esophageal adenocarcinoma, 614266 (3)"
SLC25A32	"?Exercise intolerance, riboflavin-responsive, 616839 (3), Autosomal recessive"
DPYS	"Dihydropyrimidinuria, 222748 (3), Autosomal recessive"
LRP12	"Oculopharyngodistal myopathy 1, 164310 (3), Autosomal recessive, Autosomal dominant"
ZFPM2	"46XY sex reversal 9, 616067 (3), Autosomal dominant; Diaphragmatic hernia 3, 610187 (3); Tetralogy of Fallot, 187500 (3), Autosomal dominant"
OXR1	"Cerebellar hypoplasia/atrophy, epilepsy, and global developmental delay, 213000 (3), Autosomal recessive"
RSPO2	"Tetraamelia syndrome 2, 618021 (3), Autosomal recessive; ?Humerofemoral hypoplasia with radiotibial ray deficiency, 618022 (3), Autosomal recessive"
TRHR	"Hypothyroidism, congenital, nongoitrous, 7, 618573 (3), Autosomal recessive"
TRPS1	"Trichorhinophalangeal syndrome, type I, 190350 (3), Autosomal dominant; Trichorhinophalangeal syndrome, type III, 190351 (3), Autosomal dominant"
RAD21	"?Mungan syndrome, 611376 (3), Autosomal recessive; Cornelia de Lange syndrome 4, 614701 (3), Autosomal dominant"
SLC30A8	"{Diabetes mellitus, noninsulin-dependent, susceptibility to}, 125853 (3), Autosomal dominant"
EXT1	"Exostoses, multiple, type 1, 133700 (3), Autosomal dominant; Chondrosarcoma, 215300 (3), Autosomal recessive"
SAMD12	"Epilepsy, familial adult myoclonic, 1, 601068 (3), Autosomal dominant"
TNFRSF11B	"Paget disease of bone 5, juvenile-onset, 239000 (3), Autosomal recessive"
COLEC10	"3MC syndrome 3, 248340 (3), Autosomal recessive"
TAF2	"Mental retardation, autosomal recessive 40, 615599 (3), Autosomal recessive"
RNF139	"Renal cell carcinoma, 144700 (3)"
NDUFB9	"?Mitochondrial complex I deficiency, nuclear type 24, 618245 (3), Autosomal recessive"
WASHC5	"Ritscher-Schinzel syndrome 1, 220210 (3), Autosomal recessive; Spastic paraplegia 8, autosomal dominant, 603563 (3), Autosomal dominant"
NSMCE2	"Seckel syndrome 10, 617253 (3), Autosomal recessive"
MYC	"Burkitt lymphoma, somatic, 113970 (3)"
KCNQ3	"Seizures, benign neonatal, 2, 121201 (3), Autosomal dominant"
LRRC6	"Ciliary dyskinesia, primary, 19, 614935 (3), Autosomal recessive"
TG	"{Autoimmune thyroid disease, susceptibility to, 3}, 608175 (3); Thyroid dyshormonogenesis 3, 274700 (3), Autosomal recessive"
NDRG1	"Charcot-Marie-Tooth disease, type 4D, 601455 (3), Autosomal recessive"
ZFAT	"{Autoimmune thyroid disease, susceptibility to, 3}, 608175 (3)"
KCNK9	"Birk-Barel mental retardation dysmorphism syndrome, 612292 (3)"
TRAPPC9	"Mental retardation, autosomal recessive 13, 613192 (3), Autosomal recessive"
SLURP1	"Meleda disease, 248300 (3), Autosomal recessive"
CYP11B1	"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency, 202010 (3), Autosomal recessive; Aldosteronism, glucocorticoid-remediable, 103900 (3), Autosomal dominant"
CYP11B2	"Aldosterone to renin ratio raised (3); Hypoaldosteronism, congenital, due to CMO II deficiency, 610600 (3), Autosomal recessive; {Low renin hypertension, susceptibility to} (3); Hypoaldosteronism, congenital, due to CMO I deficiency, 203400 (3), Autosomal recessive"
GPIHBP1	"Hyperlipoproteinemia, type 1D, 615947 (3), Autosomal recessive"
MAFA	"Insulinomatosis and diabetes mellitus, 147630 (3), Autosomal dominant"
FAM83H	"Amelogenesis imperfecta, type IIIA, 130900 (3), Autosomal dominant"
PUF60	"Verheij syndrome, 615583 (3), Autosomal dominant"
PLEC	"Muscular dystrophy, limb-girdle, autosomal recessive 17, 613723 (3), Autosomal recessive; Epidermolysis bullosa simplex with pyloric atresia, 612138 (3), Autosomal recessive; Epidermolysis bullosa simplex with muscular dystrophy, 226670 (3), Autosomal recessive; ?Epidermolysis bullosa simplex with nail dystrophy, 616487 (3), Autosomal recessive; Epidermolysis bullosa simplex, Ogna type, 131950 (3), Autosomal dominant"
OPLAH	"5-oxoprolinase deficiency, 260005 (3), Autosomal recessive, Autosomal dominant"
GPAA1	"Glycosylphosphatidylinositol biosynthesis defect 15, 617810 (3), Autosomal recessive"
CYC1	"Mitochondrial complex III deficiency, nuclear type 6, 615453 (3), Autosomal recessive"
DGAT1	"?Diarrhea 7, protein-losing enteropathy type, 615863 (3), Autosomal recessive"
SLC52A2	"Brown-Vialetto-Van Laere syndrome 2, 614707 (3), Autosomal recessive"
CPSF1	"Myopia 27, 618827 (3), Autosomal dominant"
SLC39A4	"Acrodermatitis enteropathica, 201100 (3), Autosomal recessive"
TONSL	"Spondyloepimetaphyseal dysplasia, sponastrime type, 271510 (3), Autosomal recessive"
RECQL4	"RAPADILINO syndrome, 266280 (3), Autosomal recessive; Baller-Gerold syndrome, 218600 (3), Autosomal recessive; Rothmund-Thomson syndrome, type 2,, 268400 (3), Autosomal recessive"
DOCK8	"Hyper-IgE recurrent infection syndrome, autosomal recessive, 243700 (3), Autosomal recessive"
KANK1	"Cerebral palsy, spastic quadriplegic, 2, 612900 (3)"
SMARCA2	"Nicolaides-Baraitser syndrome, 601358 (3), Autosomal dominant"
VLDLR	"Cerebellar hypoplasia and mental retardation with or without quadrupedal locomotion 1, 224050 (3), Autosomal recessive"
KCNV2	"Retinal cone dystrophy 3B, 610356 (3), Autosomal recessive"
GLIS3	"Diabetes mellitus, neonatal, with congenital hypothyroidism, 610199 (3), Autosomal recessive"
SLC1A1	"{?Schizophrenia susceptibility 18}, 615232 (3); Dicarboxylic aminoaciduria, 222730 (3), Autosomal recessive"
JAK2	"Myelofibrosis, somatic, 254450 (3); Thrombocythemia 3, 614521 (3), Autosomal dominant, Somatic mutation; Polycythemia vera, somatic, 263300 (3); {Budd-Chiari syndrome, somatic}, 600880 (3); Leukemia, acute myeloid, somatic, 601626 (3); Erythrocytosis, somatic, 133100 (3)"
RIC1	"CATIFA syndrome, 618761 (3), Autosomal recessive"
GLDC	"Glycine encephalopathy, 605899 (3), Autosomal recessive"
TYRP1	"[Skin/hair/eye pigmentation, variation in, 11 (Melanesian blond hair)], 612271 (3); Albinism, oculocutaneous, type III, 203290 (3), Autosomal recessive"
MPDZ	"Hydrocephalus, congenital, 2, with or without brain or eye anomalies, 615219 (3), Autosomal recessive"
NFIB	"Macrocephaly, acquired, with impaired intellectual development, 618286 (3), Autosomal dominant"
FREM1	"Manitoba oculotrichoanal syndrome, 248450 (3), Autosomal recessive; Trigonocephaly 2, 614485 (3), Autosomal dominant; Bifid nose with or without anorectal and renal anomalies, 608980 (3)"
BNC2	"Lower urinary tract obstruction, congenital, 618612 (3), Autosomal dominant"
IFNA1	"Interferon, alpha, deficiency (1)"
MTAP	"Diaphyseal medullary stenosis with malignant fibrous histiocytoma, 112250 (3), Autosomal dominant"
CDKN2A	"{Melanoma and neural system tumor syndrome}, 155755 (3), Autosomal dominant; {Melanoma, cutaneous malignant, 2}, 155601 (3), Autosomal dominant; {Melanoma-pancreatic cancer syndrome}, 606719 (3), Autosomal dominant"
PLAA	"Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies, 617527 (3), Autosomal recessive"
IFT74	"?Bardet-Biedl syndrome 20, 617119 (3), Autosomal recessive"
TEK	"Glaucoma 3, primary congenital, E, 617272 (3), Autosomal dominant; Venous malformations, multiple cutaneous and mucosal, 600195 (3), Autosomal dominant"
C9orf72	"Frontotemporal dementia and/or amyotrophic lateral sclerosis 1, 105550 (3), Autosomal dominant"
DDX58	"Singleton-Merten syndrome 2, 616298 (3), Autosomal dominant"
TOPORS	"Retinitis pigmentosa 31, 609923 (3)"
APTX	"Ataxia, early-onset, with oculomotor apraxia and hypoalbuminemia, 208920 (3), Autosomal recessive"
B4GALT1	"Congenital disorder of glycosylation, type IId, 607091 (3), Autosomal recessive"
AQP7	"[Glycerol quantitative trait locus], 614411 (3), Autosomal recessive"
AQP3	"[Blood group GIL], 607457 (3)"
UBAP1	"Spastic paraplegia 80, autosomal dominant, 618418 (3), Autosomal dominant"
MYORG	"Basal ganglia calcification, idiopathic, 7, autosomal recessive, 618317 (3), Autosomal recessive"
DNAI1	"Ciliary dyskinesia, primary, 1, with or without situs inversus, 244400 (3), Autosomal recessive"
